date,lake,funct,mgO2_day
2020-09-09,MCD,GPP,-0.0206006028545177
2020-09-09,MCD,R,0.0288083960750126
2020-09-09,MCD,NEP,0.0082077932204949
2020-09-09,MCD,GPP2,0.0206006028545177
2020-09-09,MCD,R2,-0.0288083960750126
2020-09-09,MCD,NEP2,0.0082077932204949
2020-09-09,MCD,NEP3,-0.0082077932204949
2020-09-09,MCD,GPPsd,0.01810431629540106
2020-09-09,MCD,Rsd,0.01784644431813168
2020-09-09,MCD,NEPsd,0.02542168057631318
2020-09-10,MCD,GPP,0.0320278867565155
2020-09-10,MCD,R,-0.06639835151770626
2020-09-10,MCD,NEP,-0.03437046476119076
2020-09-10,MCD,GPP2,0.0320278867565155
2020-09-10,MCD,R2,-0.06639835151770626
2020-09-10,MCD,NEP2,-0.03437046476119076
2020-09-10,MCD,NEP3,-0.03437046476119076
2020-09-10,MCD,GPPsd,0.03941400500680443
2020-09-10,MCD,Rsd,0.0386004939475574
2020-09-10,MCD,NEPsd,0.05516758036810949
2020-09-11,MCD,GPP,-0.09790657197558732
2020-09-11,MCD,R,0.09294923760324536
2020-09-11,MCD,NEP,-0.00495733437234195
2020-09-11,MCD,GPP2,0.09790657197558732
2020-09-11,MCD,R2,-0.09294923760324536
2020-09-11,MCD,NEP2,-0.00495733437234195
2020-09-11,MCD,NEP3,0.00495733437234195
2020-09-11,MCD,GPPsd,0.02096344937584524
2020-09-11,MCD,Rsd,0.02077716392277421
2020-09-11,MCD,NEPsd,0.02951536464974567
2020-09-12,MCD,GPP,-0.22644042295987504
2020-09-12,MCD,R,0.1963485818326476
2020-09-12,MCD,NEP,-0.03009184112722743
2020-09-12,MCD,GPP2,0.22644042295987504
2020-09-12,MCD,R2,-0.1963485818326476
2020-09-12,MCD,NEP2,-0.03009184112722743
2020-09-12,MCD,NEP3,0.03009184112722743
2020-09-12,MCD,GPPsd,0.02467618237114193
2020-09-12,MCD,Rsd,0.02485627655364258
2020-09-12,MCD,NEPsd,0.03502496910098592
2020-09-13,MCD,GPP,0.08472363585207272
2020-09-13,MCD,R,-0.1055513887969065
2020-09-13,MCD,NEP,-0.02082775294483377
2020-09-13,MCD,GPP2,0.08472363585207272
2020-09-13,MCD,R2,-0.1055513887969065
2020-09-13,MCD,NEP2,-0.02082775294483377
2020-09-13,MCD,NEP3,-0.02082775294483377
2020-09-13,MCD,GPPsd,0.01428025575166983
2020-09-13,MCD,Rsd,0.01442242722840447
2020-09-13,MCD,NEPsd,0.02029611074791725
2020-09-14,MCD,GPP,-0.12706910987018388
2020-09-14,MCD,R,0.1620961099609727
2020-09-14,MCD,NEP,0.03502700009078885
2020-09-14,MCD,GPP2,0.12706910987018388
2020-09-14,MCD,R2,-0.1620961099609727
2020-09-14,MCD,NEP2,0.03502700009078885
2020-09-14,MCD,NEP3,-0.03502700009078885
2020-09-14,MCD,GPPsd,0.02383204294356805
2020-09-14,MCD,Rsd,0.02356113694614522
2020-09-14,MCD,NEPsd,0.03351258636779741
2020-09-15,MCD,GPP,-0.00822750399048617
2020-09-15,MCD,R,0.08139511132782663
2020-09-15,MCD,NEP,0.07316760733734046
2020-09-15,MCD,GPP2,0.00822750399048617
2020-09-15,MCD,R2,-0.08139511132782663
2020-09-15,MCD,NEP2,0.07316760733734046
2020-09-15,MCD,NEP3,-0.07316760733734046
2020-09-15,MCD,GPPsd,0.01852868518506122
2020-09-15,MCD,Rsd,0.01805037322956595
2020-09-15,MCD,NEPsd,0.02586751144609273
2020-09-16,MCD,GPP,0.08116263987667985
2020-09-16,MCD,R,-0.04769514343251971
2020-09-16,MCD,NEP,0.03346749644416014
2020-09-16,MCD,GPP2,0.08116263987667985
2020-09-16,MCD,R2,-0.04769514343251971
2020-09-16,MCD,NEP2,0.03346749644416014
2020-09-16,MCD,NEP3,0.03346749644416014
2020-09-16,MCD,GPPsd,0.02604901435514256
2020-09-16,MCD,Rsd,0.0258887671448619
2020-09-16,MCD,NEPsd,0.03672573230250562
2020-06-19,HOL,GPP,0.18048881395764227
2020-06-19,HOL,R,-0.08900433820898049
2020-06-19,HOL,NEP,0.09148447574866178
2020-06-19,HOL,GPP2,0.18048881395764227
2020-06-19,HOL,R2,-0.08900433820898049
2020-06-19,HOL,NEP2,0.09148447574866178
2020-06-19,HOL,NEP3,0.09148447574866178
2020-06-19,HOL,GPPsd,0.04949821815503731
2020-06-19,HOL,Rsd,0.04839412814116959
