date,lake,funct,model,mgO2_day
8/16/20,MCD,R2,bayes,-0.041681071
8/16/20,MCD,R2,book,-0.090770775
8/16/20,MCD,NEP2,bayes,0.00120067
8/16/20,MCD,NEP2,book,0.038037608
8/16/20,MCD,NEP3,bayes,0.00120067
8/16/20,MCD,NEP3,book,0.038037608
8/16/20,MCD,GPPsd,bayes,0.011792513
8/16/20,MCD,Rsd,bayes,0.011113234
8/16/20,MCD,NEPsd,bayes,0.01620393
8/17/20,MCD,GPP,bayes,0.064149357
8/17/20,MCD,GPP,book,0.346031622
8/17/20,MCD,R,bayes,-0.109512271
8/17/20,MCD,R,book,-0.287107892
8/17/20,MCD,NEP,bayes,-0.045362914
8/17/20,MCD,NEP,book,-0.057113571
8/17/20,MCD,GPP2,bayes,0.064149357
8/17/20,MCD,GPP2,book,0.346031622
8/17/20,MCD,R2,bayes,-0.109512271
8/17/20,MCD,R2,book,-0.287107892
8/17/20,MCD,NEP2,bayes,-0.045362914
8/17/20,MCD,NEP2,book,0.05892373
8/17/20,MCD,NEP3,bayes,-0.045362914
8/17/20,MCD,NEP3,book,0.05892373
8/17/20,MCD,GPPsd,bayes,0.014758401
8/17/20,MCD,Rsd,bayes,0.014881542
8/17/20,MCD,NEPsd,bayes,0.020958786
8/18/20,MCD,GPP,bayes,0.174267538
8/18/20,MCD,GPP,book,0.631424211
8/18/20,MCD,R,bayes,-0.200090397
8/18/20,MCD,R,book,-0.4643928
8/18/20,MCD,NEP,bayes,-0.025822859
8/18/20,MCD,NEP,book,-0.026650662
8/18/20,MCD,GPP2,bayes,0.174267538
8/18/20,MCD,GPP2,book,0.631424211
8/18/20,MCD,R2,bayes,-0.200090397
8/18/20,MCD,R2,book,-0.4643928
8/18/20,MCD,NEP2,bayes,-0.025822859
8/18/20,MCD,NEP2,book,0.167031412
8/18/20,MCD,NEP3,bayes,-0.025822859
8/18/20,MCD,NEP3,book,0.167031412
8/18/20,MCD,GPPsd,bayes,0.041724295
8/18/20,MCD,Rsd,bayes,0.041374225
8/18/20,MCD,NEPsd,bayes,0.058760048
8/19/20,MCD,GPP,bayes,0.252409648
8/19/20,MCD,GPP,book,1.991775484
8/19/20,MCD,R,bayes,-0.07639161
8/19/20,MCD,R,book,-1.309955329
8/19/20,MCD,NEP,bayes,0.176018038
8/19/20,MCD,NEP,book,0.136956521
8/19/20,MCD,GPP2,bayes,0.252409648
8/19/20,MCD,GPP2,book,1.991775484
8/19/20,MCD,R2,bayes,-0.07639161
8/19/20,MCD,R2,book,-1.309955329
8/19/20,MCD,NEP2,bayes,0.176018038
8/19/20,MCD,NEP2,book,0.681820155
8/19/20,MCD,NEP3,bayes,0.176018038
8/19/20,MCD,NEP3,book,0.681820155
8/19/20,MCD,GPPsd,bayes,0.062282693
8/19/20,MCD,Rsd,bayes,0.063000442
8/19/20,MCD,NEPsd,bayes,0.088590008
8/20/20,MCD,GPP,bayes,-0.134468214
8/20/20,MCD,GPP,book,0.256200005
8/20/20,MCD,R,bayes,0.257485633
8/20/20,MCD,R,book,-0.107393946
8/20/20,MCD,NEP,bayes,0.12301742
8/20/20,MCD,NEP,book,0.104786265
8/20/20,MCD,GPP2,bayes,0.134468214
8/20/20,MCD,GPP2,book,0.256200005
8/20/20,MCD,R2,bayes,-0.257485633
8/20/20,MCD,R2,book,-0.107393946
8/20/20,MCD,NEP2,bayes,0.12301742
8/20/20,MCD,NEP2,book,0.14880606
8/20/20,MCD,NEP3,bayes,-0.12301742
8/20/20,MCD,NEP3,book,0.14880606
8/20/20,MCD,GPPsd,bayes,0.053983737
8/20/20,MCD,Rsd,bayes,0.053997847
8/20/20,MCD,NEPsd,bayes,0.076354511
8/21/20,MCD,GPP,bayes,-0.700612046
8/21/20,MCD,GPP,book,0.269246958
8/21/20,MCD,R,bayes,0.828328201
8/21/20,MCD,R,book,-0.119097149
8/21/20,MCD,NEP,bayes,0.127716156
8/21/20,MCD,NEP,book,0.101228976
8/21/20,MCD,GPP2,bayes,0.700612046
8/21/20,MCD,GPP2,book,0.269246958
8/21/20,MCD,R2,bayes,-0.828328201
8/21/20,MCD,R2,book,-0.119097149
8/21/20,MCD,NEP2,bayes,0.127716156
8/21/20,MCD,NEP2,book,0.150149809
8/21/20,MCD,NEP3,bayes,-0.127716156
8/21/20,MCD,NEP3,book,0.150149809
8/21/20,MCD,GPPsd,bayes,0.057701938
8/21/20,MCD,Rsd,bayes,0.058466359
8/21/20,MCD,NEPsd,bayes,0.082145169
8/22/20,MCD,GPP,bayes,-0.051386627
8/22/20,MCD,GPP,book,-0.05032263
8/22/20,MCD,R,bayes,0.235926928
8/22/20,MCD,R,book,0.156017843
8/22/20,MCD,NEP,bayes,0.184540301
8/22/20,MCD,NEP,book,0.171896372
8/22/20,MCD,GPP2,bayes,0.051386627
