datetime,lake,depth,temp
2020-06-26T06:00:00Z,UPH,1,8.186
2020-06-26T06:30:00Z,UPH,0,9.077
2020-06-26T06:30:00Z,UPH,2,6.978
2020-06-26T06:30:00Z,UPH,4,5.552
2020-06-26T06:30:00Z,UPH,8,3.788
2020-06-26T06:30:00Z,UPH,1,8.176
2020-06-26T07:00:00Z,UPH,0,8.978
2020-06-26T07:00:00Z,UPH,2,7.079
2020-06-26T07:00:00Z,UPH,4,5.347
2020-06-26T07:00:00Z,UPH,8,3.788
2020-06-26T07:00:00Z,UPH,1,8.223
2020-06-26T07:30:00Z,UPH,0,8.978
2020-06-26T07:30:00Z,UPH,2,6.877
2020-06-26T07:30:00Z,UPH,4,5.45
2020-06-26T07:30:00Z,UPH,8,3.893
2020-06-26T07:30:00Z,UPH,1,7.808
2020-06-26T08:00:00Z,UPH,0,9.965
2020-06-26T08:00:00Z,UPH,2,7.079
2020-06-26T08:00:00Z,UPH,4,5.552
2020-06-26T08:00:00Z,UPH,8,3.893
2020-06-26T08:00:00Z,UPH,1,7.912
2020-06-26T08:30:00Z,UPH,0,10.455
2020-06-26T08:30:00Z,UPH,2,7.179
2020-06-26T08:30:00Z,UPH,4,5.655
2020-06-26T08:30:00Z,UPH,8,3.893
2020-06-26T08:30:00Z,UPH,1,7.627
2020-06-26T09:00:00Z,UPH,0,9.669
2020-06-26T09:00:00Z,UPH,2,7.179
2020-06-26T09:00:00Z,UPH,4,5.655
2020-06-26T09:00:00Z,UPH,8,3.788
2020-06-26T09:00:00Z,UPH,1,7.294
2020-06-26T09:30:00Z,UPH,0,9.571
2020-06-26T09:30:00Z,UPH,2,7.179
2020-06-26T09:30:00Z,UPH,4,5.757
2020-06-26T09:30:00Z,UPH,8,3.893
2020-06-26T09:30:00Z,UPH,1,7.675
2020-06-26T10:00:00Z,UPH,0,9.866
2020-06-26T10:00:00Z,UPH,2,7.381
2020-06-26T10:00:00Z,UPH,4,6.166
2020-06-26T10:00:00Z,UPH,8,3.893
2020-06-26T10:00:00Z,UPH,1,7.504
2020-06-26T10:30:00Z,UPH,0,9.472
2020-06-26T10:30:00Z,UPH,2,8.282
2020-06-26T10:30:00Z,UPH,4,5.962
2020-06-26T10:30:00Z,UPH,8,3.893
2020-06-26T10:30:00Z,UPH,1,8.739
2020-06-26T11:00:00Z,UPH,0,9.472
2020-06-26T11:00:00Z,UPH,2,8.382
2020-06-26T11:00:00Z,UPH,4,6.268
2020-06-26T11:00:00Z,UPH,8,3.893
2020-06-26T11:00:00Z,UPH,1,8.99
2020-06-26T11:30:00Z,UPH,0,9.472
2020-06-26T11:30:00Z,UPH,2,9.077
2020-06-26T11:30:00Z,UPH,4,6.166
2020-06-26T11:30:00Z,UPH,8,3.998
2020-06-26T11:30:00Z,UPH,1,9.092
2020-06-26T12:00:00Z,UPH,0,9.669
2020-06-26T12:00:00Z,UPH,2,8.481
2020-06-26T12:00:00Z,UPH,4,6.37
2020-06-26T12:00:00Z,UPH,8,3.998
2020-06-26T12:00:00Z,UPH,1,9.222
2020-06-26T12:30:00Z,UPH,0,9.965
2020-06-26T12:30:00Z,UPH,2,8.282
2020-06-26T12:30:00Z,UPH,4,6.064
2020-06-26T12:30:00Z,UPH,8,3.998
2020-06-26T12:30:00Z,UPH,1,9.398
2020-06-26T13:00:00Z,UPH,0,10.063
2020-06-26T13:00:00Z,UPH,2,8.082
2020-06-26T13:00:00Z,UPH,4,5.962
2020-06-26T13:00:00Z,UPH,8,3.998
2020-06-26T13:00:00Z,UPH,1,9.49
2020-06-26T13:30:00Z,UPH,0,10.259
2020-06-26T13:30:00Z,UPH,2,8.082
2020-06-26T13:30:00Z,UPH,4,5.86
2020-06-26T13:30:00Z,UPH,8,3.893
2020-06-26T13:30:00Z,UPH,1,9.545
2020-06-26T14:00:00Z,UPH,0,10.748
2020-06-26T14:00:00Z,UPH,2,8.382
2020-06-26T14:00:00Z,UPH,4,5.962
2020-06-26T14:00:00Z,UPH,8,3.998
2020-06-26T14:00:00Z,UPH,1,9.702
2020-06-26T14:30:00Z,UPH,0,11.236
2020-06-26T14:30:00Z,UPH,2,8.282
2020-06-26T14:30:00Z,UPH,4,5.962
2020-06-26T14:30:00Z,UPH,8,3.998
2020-06-26T14:30:00Z,UPH,1,9.858
2020-06-26T15:00:00Z,UPH,0,11.625
2020-06-26T15:00:00Z,UPH,2,8.282
2020-06-26T15:00:00Z,UPH,4,5.655
2020-06-26T15:00:00Z,UPH,8,3.893
2020-06-26T15:00:00Z,UPH,1,10.004
2020-06-26T15:30:00Z,UPH,0,12.401
