time,latitude,longitude,vgrd10m,ugrd10m
2020-06-16T03:00:00Z,47,246.5,-0.7413061,1.5404321
2020-06-16T03:00:00Z,47.5,246.5,0.27869385,1.8204321
2020-06-16T03:00:00Z,48,246.5,0.47869384,1.4104321
2020-06-16T06:00:00Z,47,246.5,-0.009848633,1.2851586
2020-06-16T06:00:00Z,47.5,246.5,0.6401514,1.0551586
2020-06-16T06:00:00Z,48,246.5,0.79015136,1.0851587
2020-06-16T09:00:00Z,47,246.5,-0.15340576,0.6243603
2020-06-16T09:00:00Z,47.5,246.5,-0.35340574,0.91436034
2020-06-16T09:00:00Z,48,246.5,0.40659422,1.3843603
2020-06-16T12:00:00Z,47,246.5,-0.27733397,1.0519702
2020-06-16T12:00:00Z,47.5,246.5,-0.007333984,0.6919702
2020-06-16T12:00:00Z,48,246.5,0.17266601,0.7119702
2020-06-16T15:00:00Z,47,246.5,1.0142114,0.1608667
2020-06-16T15:00:00Z,47.5,246.5,-0.53578854,1.1108667
2020-06-16T15:00:00Z,48,246.5,-0.24578857,0.6308667
2020-06-16T18:00:00Z,47,246.5,-0.6127344,1.5216992
2020-06-16T18:00:00Z,47.5,246.5,-0.59273434,1.6316992
2020-06-16T18:00:00Z,48,246.5,-0.53273433,1.8816992
2020-06-16T21:00:00Z,47,246.5,-1.5634717,1.3659424
2020-06-16T21:00:00Z,47.5,246.5,-1.5134716,1.3559424
2020-06-16T21:00:00Z,48,246.5,-0.7534717,0.7659424
2020-06-17T00:00:00Z,47,246.5,-1.7313379,1.8151343
2020-06-17T00:00:00Z,47.5,246.5,-1.4413378,1.5751343
2020-06-17T00:00:00Z,48,246.5,-0.52133787,1.5351342
2020-06-17T03:00:00Z,47,246.5,-0.40961668,1.4329907
2020-06-17T03:00:00Z,47.5,246.5,-0.8096167,1.3829907
2020-06-17T03:00:00Z,48,246.5,-0.3296167,0.8129907
2020-06-17T06:00:00Z,47,246.5,0.111450195,1.7043139
2020-06-17T06:00:00Z,47.5,246.5,-1.2685498,1.134314
2020-06-17T06:00:00Z,48,246.5,-0.6885498,-0.37568602
2020-06-17T09:00:00Z,47,246.5,0.083315425,1.3604052
2020-06-17T09:00:00Z,47.5,246.5,-1.3566846,0.75040525
2020-06-17T09:00:00Z,48,246.5,-0.61668456,-0.30959472
2020-06-17T12:00:00Z,47,246.5,-1.2839794,0.85979
2020-06-17T12:00:00Z,47.5,246.5,-1.8939794,-0.36020994
2020-06-17T12:00:00Z,48,246.5,-0.6939795,-1.07021
2020-06-17T15:00:00Z,47,246.5,-1.1591235,1.4506177
2020-06-17T15:00:00Z,47.5,246.5,-1.9291235,0.49061766
2020-06-17T15:00:00Z,48,246.5,-0.91912353,0.43061766
2020-06-17T18:00:00Z,47,246.5,-0.19772948,2.047876
2020-06-17T18:00:00Z,47.5,246.5,-1.8077295,1.167876
2020-06-17T18:00:00Z,48,246.5,-1.0577295,0.43787596
2020-06-17T21:00:00Z,47,246.5,-0.28555176,1.1859521
2020-06-17T21:00:00Z,47.5,246.5,-0.7255517,1.3059521
2020-06-17T21:00:00Z,48,246.5,-0.26555175,0.9659521
2020-06-18T00:00:00Z,47,246.5,1.295061,2.9664378
2020-06-18T00:00:00Z,47.5,246.5,-0.30493897,1.446438
2020-06-18T00:00:00Z,48,246.5,0.11506103,1.2164379
2020-06-18T03:00:00Z,47,246.5,1.0729126,1.6514087
2020-06-18T03:00:00Z,47.5,246.5,-0.027087402,1.1614087
2020-06-18T03:00:00Z,48,246.5,0.5729126,1.1614087
2020-06-18T06:00:00Z,47,246.5,0.977644,0.958269
2020-06-18T06:00:00Z,47.5,246.5,-0.37235594,0.08826904
2020-06-18T06:00:00Z,48,246.5,0.44764403,1.1382691
2020-06-18T09:00:00Z,47,246.5,0.7489624,1.0042822
2020-06-18T09:00:00Z,47.5,246.5,-0.2210376,0.32428223
2020-06-18T09:00:00Z,48,246.5,-0.081037596,0.9542822
2020-06-18T12:00:00Z,47,246.5,0.8529663,1.027666
2020-06-18T12:00:00Z,47.5,246.5,-0.2970337,0.837666
2020-06-18T12:00:00Z,48,246.5,-0.2770337,1.057666
2020-06-18T15:00:00Z,47,246.5,0.7942187,0.309021
2020-06-18T15:00:00Z,47.5,246.5,0.45421875,0.609021
2020-06-18T15:00:00Z,48,246.5,0.12421875,0.65902096
2020-06-18T18:00:00Z,47,246.5,1.0004711,0.60403806
2020-06-18T18:00:00Z,47.5,246.5,1.1704712,1.0140381
2020-06-18T18:00:00Z,48,246.5,0.3004712,1.4940381
2020-06-18T21:00:00Z,47,246.5,1.330791,0.2018164
2020-06-18T21:00:00Z,47.5,246.5,0.67079103,1.2818164
2020-06-18T21:00:00Z,48,246.5,0.40079102,0.72181636
2020-06-19T00:00:00Z,47,246.5,-0.2961572,1.0794897
2020-06-19T00:00:00Z,47.5,246.5,0.08384277,0.7594897
2020-06-19T00:00:00Z,48,246.5,0.26384276,0.22948974
2020-06-19T03:00:00Z,47,246.5,-0.8071069,0.1913037
2020-06-19T03:00:00Z,47.5,246.5,0.002893066,-0.45869628
2020-06-19T03:00:00Z,48,246.5,1.5128931,-0.15869628
2020-06-19T06:00:00Z,47,246.5,0.15761963,0.447229
2020-06-19T06:00:00Z,47.5,246.5,1.0476196,-0.202771
2020-06-19T06:00:00Z,48,246.5,1.1176196,-0.06277099
2020-06-19T09:00:00Z,47,246.5,0.21378417,0.52790284
2020-06-19T09:00:00Z,47.5,246.5,1.0737841,-0.39209715
2020-06-19T09:00:00Z,48,246.5,1.2137841,-0.56209713
2020-06-19T12:00:00Z,47,246.5,0.1301709,0.057437744
2020-06-19T12:00:00Z,47.5,246.5,0.8901709,-0.53256226
2020-06-19T12:00:00Z,48,246.5,0.72017086,-0.84256226
2020-06-19T15:00:00Z,47,246.5,0.8159741,-0.3717285
2020-06-19T15:00:00Z,47.5,246.5,1.5759741,0.7982715
2020-06-19T15:00:00Z,48,246.5,1.0459741,-0.5417285
2020-06-19T18:00:00Z,47,246.5,0.56981933,2.574912
2020-06-19T18:00:00Z,47.5,246.5,0.5798193,1.9449121
2020-06-19T18:00:00Z,48,246.5,0.7998193,1.4149121
2020-06-19T21:00:00Z,47,246.5,0.44011107,4.3699975
2020-06-19T21:00:00Z,47.5,246.5,-0.7898889,2.9099975
2020-06-19T21:00:00Z,48,246.5,0.15011108,2.1699975
2020-06-20T00:00:00Z,47,246.5,-0.15208252,4.137654
2020-06-20T00:00:00Z,47.5,246.5,-0.3020825,2.0076537
2020-06-20T00:00:00Z,48,246.5,0.44791746,1.7576537
2020-06-20T03:00:00Z,47,246.5,-1.7173339,0.9868091
2020-06-20T03:00:00Z,47.5,246.5,1.022666,0.10680908
2020-06-20T03:00:00Z,48,246.5,0.522666,0.68680906
2020-06-20T06:00:00Z,47,246.5,-0.118937984,0.9415698
2020-06-20T06:00:00Z,47.5,246.5,-1.068938,0.26156983
2020-06-20T06:00:00Z,48,246.5,1.181062,0.5715698
2020-06-20T09:00:00Z,47,246.5,-0.05500488,0.3727661
2020-06-20T09:00:00Z,47.5,246.5,0.5649951,-0.3772339
2020-06-20T09:00:00Z,48,246.5,1.184995,-0.27723387
2020-06-20T12:00:00Z,47,246.5,-0.08943603,0.27108398
2020-06-20T12:00:00Z,47.5,246.5,0.92056394,-0.148916
2020-06-20T12:00:00Z,48,246.5,0.7505639,-0.378916
2020-06-20T15:00:00Z,47,246.5,0.74624264,-0.1523706
2020-06-20T15:00:00Z,47.5,246.5,0.80624264,1.2976294
2020-06-20T15:00:00Z,48,246.5,0.79624265,1.3276293
2020-06-20T18:00:00Z,47,246.5,0.90297973,2.901643
2020-06-20T18:00:00Z,47.5,246.5,0.102979735,3.121643
2020-06-20T18:00:00Z,48,246.5,0.32297972,4.1916428
2020-06-20T21:00:00Z,47,246.5,0.21576415,3.8913329
2020-06-20T21:00:00Z,47.5,246.5,0.92576414,3.551333
2020-06-20T21:00:00Z,48,246.5,0.19576415,2.351333
2020-06-21T00:00:00Z,47,246.5,0.5917578,0.33203858
2020-06-21T00:00:00Z,47.5,246.5,1.1717578,1.8620385
2020-06-21T00:00:00Z,48,246.5,0.7417578,1.4320385
2020-06-21T03:00:00Z,47,246.5,1.0251904,0.89229
2020-06-21T03:00:00Z,47.5,246.5,0.8551904,1.38229
2020-06-21T03:00:00Z,48,246.5,0.9751904,1.3222901
2020-06-21T06:00:00Z,47,246.5,0.844342,1.5599755
2020-06-21T06:00:00Z,47.5,246.5,0.86434203,1.3099755
2020-06-21T06:00:00Z,48,246.5,0.98434204,0.87997556
2020-06-21T09:00:00Z,47,246.5,1.1098181,1.2697167
2020-06-21T09:00:00Z,47.5,246.5,0.4398181,1.5497167
2020-06-21T09:00:00Z,48,246.5,0.4098181,1.1197168
2020-06-21T12:00:00Z,47,246.5,0.27966064,1.2222778
2020-06-21T12:00:00Z,47.5,246.5,0.65966064,1.6922778
2020-06-21T12:00:00Z,48,246.5,1.0096606,1.1022778
2020-06-21T15:00:00Z,47,246.5,1.0524365,0.5467138
2020-06-21T15:00:00Z,47.5,246.5,0.3224365,1.5667138
2020-06-21T15:00:00Z,48,246.5,0.8524365,1.7267138
2020-06-21T18:00:00Z,47,246.5,0.46469724,3.8004491
2020-06-21T18:00:00Z,47.5,246.5,-0.35530272,2.370449
2020-06-21T18:00:00Z,48,246.5,0.45469725,2.7104492
2020-06-21T21:00:00Z,47,246.5,0.4435083,5.1310496
2020-06-21T21:00:00Z,47.5,246.5,-0.69649166,4.0710497
2020-06-21T21:00:00Z,48,246.5,0.23350829,3.2610497
2020-06-22T00:00:00Z,47,246.5,-1.2986157,5.181594
2020-06-22T00:00:00Z,47.5,246.5,-0.62861574,3.971594
2020-06-22T00:00:00Z,48,246.5,-0.15861572,2.0015943
2020-06-22T03:00:00Z,47,246.5,-0.006992187,2.369458
2020-06-22T03:00:00Z,47.5,246.5,-0.076992184,1.699458
2020-06-22T03:00:00Z,48,246.5,0.5930078,1.509458
2020-06-22T06:00:00Z,47,246.5,0.18482177,1.5531884
2020-06-22T06:00:00Z,47.5,246.5,0.054821774,1.1831884
2020-06-22T06:00:00Z,48,246.5,0.43482175,0.6931885
2020-06-22T09:00:00Z,47,246.5,-0.004692383,0.78978026
2020-06-22T09:00:00Z,47.5,246.5,-0.10469238,0.33978027
2020-06-22T09:00:00Z,48,246.5,0.5853076,0.53978026
2020-06-22T12:00:00Z,47,246.5,0.09938965,1.030957
2020-06-22T12:00:00Z,47.5,246.5,0.26938963,0.22095703
2020-06-22T12:00:00Z,48,246.5,0.9593896,-0.049042966
2020-06-22T15:00:00Z,47,246.5,0.8037939,-0.09519043
2020-06-22T15:00:00Z,47.5,246.5,-0.16620605,1.3348095
2020-06-22T15:00:00Z,48,246.5,0.26379395,1.2248095
2020-06-22T18:00:00Z,47,246.5,1.7156713,1.0325732
2020-06-22T18:00:00Z,47.5,246.5,0.11567138,1.9125732
2020-06-22T18:00:00Z,48,246.5,0.5156714,2.3125732
2020-06-22T21:00:00Z,47,246.5,0.7694262,3.932185
2020-06-22T21:00:00Z,47.5,246.5,-0.57057375,3.532185
2020-06-22T21:00:00Z,48,246.5,0.13942626,4.132185
2020-06-23T00:00:00Z,47,246.5,-1.4958594,2.550615
2020-06-23T00:00:00Z,47.5,246.5,0.004140625,2.4806151
2020-06-23T00:00:00Z,48,246.5,0.27414063,3.1806152
2020-06-23T03:00:00Z,47,246.5,-0.9743701,0.67728513
2020-06-23T03:00:00Z,47.5,246.5,0.21562988,0.9372851
2020-06-23T03:00:00Z,48,246.5,0.7156299,1.0672852
2020-06-23T06:00:00Z,47,246.5,-0.650957,0.89411616
2020-06-23T06:00:00Z,47.5,246.5,0.44904295,-0.055883788
2020-06-23T06:00:00Z,48,246.5,0.949043,0.14411621
2020-06-23T09:00:00Z,47,246.5,-0.022556152,0.592124
2020-06-23T09:00:00Z,47.5,246.5,0.63744384,-0.037875976
2020-06-23T09:00:00Z,48,246.5,1.1474438,-0.30787596
2020-06-23T12:00:00Z,47,246.5,0.004736328,0.07404297
2020-06-23T12:00:00Z,47.5,246.5,0.6747363,-0.20595703
2020-06-23T12:00:00Z,48,246.5,0.78473634,-0.22595702
2020-06-23T15:00:00Z,47,246.5,0.71555173,-0.13305175
2020-06-23T15:00:00Z,47.5,246.5,0.28555176,1.3069482
2020-06-23T15:00:00Z,48,246.5,0.40555176,1.2069482
2020-06-23T18:00:00Z,47,246.5,1.5460669,1.4325585
2020-06-23T18:00:00Z,47.5,246.5,-0.3439331,2.1225586
2020-06-23T18:00:00Z,48,246.5,0.42606688,2.4625585
2020-06-23T21:00:00Z,47,246.5,0.5462183,3.9718359
2020-06-23T21:00:00Z,47.5,246.5,-0.34378174,3.2918358
2020-06-23T21:00:00Z,48,246.5,0.16621825,3.161836
2020-06-24T00:00:00Z,47,246.5,-1.0741675,1.9177514
