datetime,lake,depth_m,temp_C
2020-07-28T12:30:00Z,MCD,2,18.711
2020-07-28T12:30:00Z,MCD,4,14.996
2020-07-28T12:30:00Z,MCD,6,13.846
2020-07-28T12:30:00Z,MCD,8,13.076
2020-07-28T12:30:00Z,MCD,1,18.121
2020-07-28T13:00:00Z,MCD,10,10.651
2020-07-28T13:00:00Z,MCD,12,8.282
2020-07-28T13:00:00Z,MCD,2,18.711
2020-07-28T13:00:00Z,MCD,4,15.091
2020-07-28T13:00:00Z,MCD,6,13.942
2020-07-28T13:00:00Z,MCD,8,13.173
2020-07-28T13:00:00Z,MCD,1,18.172
2020-07-28T13:30:00Z,MCD,10,10.651
2020-07-28T13:30:00Z,MCD,12,8.282
2020-07-28T13:30:00Z,MCD,2,18.806
2020-07-28T13:30:00Z,MCD,4,15.091
2020-07-28T13:30:00Z,MCD,6,13.942
2020-07-28T13:30:00Z,MCD,8,13.173
2020-07-28T13:30:00Z,MCD,1,18.197
2020-07-28T14:00:00Z,MCD,10,10.944
2020-07-28T14:00:00Z,MCD,12,8.382
2020-07-28T14:00:00Z,MCD,2,19.092
2020-07-28T14:00:00Z,MCD,4,14.996
2020-07-28T14:00:00Z,MCD,6,14.038
2020-07-28T14:00:00Z,MCD,8,13.076
2020-07-28T14:00:00Z,MCD,1,18.256
2020-07-28T14:30:00Z,MCD,10,11.431
2020-07-28T14:30:00Z,MCD,12,8.282
2020-07-28T14:30:00Z,MCD,2,18.996
2020-07-28T14:30:00Z,MCD,4,14.9
2020-07-28T14:30:00Z,MCD,6,13.942
2020-07-28T14:30:00Z,MCD,8,13.173
2020-07-28T14:30:00Z,MCD,1,18.323
2020-07-28T15:00:00Z,MCD,10,11.625
2020-07-28T15:00:00Z,MCD,12,8.382
2020-07-28T15:00:00Z,MCD,2,19.092
2020-07-28T15:00:00Z,MCD,4,14.9
2020-07-28T15:00:00Z,MCD,6,13.942
2020-07-28T15:00:00Z,MCD,8,13.269
2020-07-28T15:00:00Z,MCD,1,18.239
2020-07-28T15:30:00Z,MCD,10,11.819
2020-07-28T15:30:00Z,MCD,12,8.481
