"","datetime","wnd_10"
"230.5",2020-06-16 08:30:00,0.692009064253751
"233",2020-06-16 09:00:00,1.23332647128172
"233.1",2020-06-16 09:30:00,1.23332647128172
"233.2",2020-06-16 10:00:00,1.23332647128172
"233.3",2020-06-16 10:30:00,1.23332647128172
"233.4",2020-06-16 11:00:00,1.23332647128172
"233.5",2020-06-16 11:30:00,1.23332647128172
"236",2020-06-16 12:00:00,1.7360231211294
"236.1",2020-06-16 12:30:00,1.7360231211294
"236.2",2020-06-16 13:00:00,1.7360231211294
"236.3",2020-06-16 13:30:00,1.7360231211294
"236.4",2020-06-16 14:00:00,1.7360231211294
"236.5",2020-06-16 14:30:00,1.7360231211294
"239",2020-06-16 15:00:00,2.03203741996163
"239.1",2020-06-16 15:30:00,2.03203741996163
"239.2",2020-06-16 16:00:00,2.03203741996163
"239.3",2020-06-16 16:30:00,2.03203741996163
"239.4",2020-06-16 17:00:00,2.03203741996163
"239.5",2020-06-16 17:30:00,2.03203741996163
"242",2020-06-16 18:00:00,2.13506503805981
"242.1",2020-06-16 18:30:00,2.13506503805981
"242.2",2020-06-16 19:00:00,2.13506503805981
"242.3",2020-06-16 19:30:00,2.13506503805981
"242.4",2020-06-16 20:00:00,2.13506503805981
"242.5",2020-06-16 20:30:00,2.13506503805981
"245",2020-06-16 21:00:00,1.60254250402458
"245.1",2020-06-16 21:30:00,1.60254250402458
"245.2",2020-06-16 22:00:00,1.60254250402458
"245.3",2020-06-16 22:30:00,1.60254250402458
"245.4",2020-06-16 23:00:00,1.60254250402458
"245.5",2020-06-16 23:30:00,1.60254250402458
"248",2020-06-17 00:00:00,1.70173054438006
"248.1",2020-06-17 00:30:00,1.70173054438006
"248.2",2020-06-17 01:00:00,1.70173054438006
"248.3",2020-06-17 01:30:00,1.70173054438006
"248.4",2020-06-17 02:00:00,1.70173054438006
"248.5",2020-06-17 02:30:00,1.70173054438006
"251",2020-06-17 03:00:00,1.55038741710087
"251.1",2020-06-17 03:30:00,1.55038741710087
"251.2",2020-06-17 04:00:00,1.55038741710087
"251.3",2020-06-17 04:30:00,1.55038741710087
"251.4",2020-06-17 05:00:00,1.55038741710087
"251.5",2020-06-17 05:30:00,1.55038741710087
"254",2020-06-17 06:00:00,1.92792872495307
"254.1",2020-06-17 06:30:00,1.92792872495307
"254.2",2020-06-17 07:00:00,1.92792872495307
"254.3",2020-06-17 07:30:00,1.92792872495307
"254.4",2020-06-17 08:00:00,1.92792872495307
"254.5",2020-06-17 08:30:00,1.92792872495307
"257",2020-06-17 09:00:00,1.99053338745074
"257.1",2020-06-17 09:30:00,1.99053338745074
"257.2",2020-06-17 10:00:00,1.99053338745074
"257.3",2020-06-17 10:30:00,1.99053338745074
"257.4",2020-06-17 11:00:00,1.99053338745074
"257.5",2020-06-17 11:30:00,1.99053338745074
"260",2020-06-17 12:00:00,2.15216641934267
"260.1",2020-06-17 12:30:00,2.15216641934267
"260.2",2020-06-17 13:00:00,2.15216641934267
"260.3",2020-06-17 13:30:00,2.15216641934267
"260.4",2020-06-17 14:00:00,2.15216641934267
"260.5",2020-06-17 14:30:00,2.15216641934267
"263",2020-06-17 15:00:00,1.49396658492327
"263.1",2020-06-17 15:30:00,1.49396658492327
"263.2",2020-06-17 16:00:00,1.49396658492327
"263.3",2020-06-17 16:30:00,1.49396658492327
"263.4",2020-06-17 17:00:00,1.49396658492327
"263.5",2020-06-17 17:30:00,1.49396658492327
"266",2020-06-17 18:00:00,1.47823227649401
"266.1",2020-06-17 18:30:00,1.47823227649401
"266.2",2020-06-17 19:00:00,1.47823227649401
"266.3",2020-06-17 19:30:00,1.47823227649401
"266.4",2020-06-17 20:00:00,1.47823227649401
"266.5",2020-06-17 20:30:00,1.47823227649401
"269",2020-06-17 21:00:00,1.16172453524181
"269.1",2020-06-17 21:30:00,1.16172453524181
"269.2",2020-06-17 22:00:00,1.16172453524181
"269.3",2020-06-17 22:30:00,1.16172453524181
"269.4",2020-06-17 23:00:00,1.16172453524181
"269.5",2020-06-17 23:30:00,1.16172453524181
"272",2020-06-18 00:00:00,0.382675279415597
"272.1",2020-06-18 00:30:00,0.382675279415597
"272.2",2020-06-18 01:00:00,0.382675279415597
